Tool Name,Category,Primary Use,Link,Superpower,Limitations,Tutorial Link,Pricing
Lovable.dev,Code Generation,"Chat-based AI platform for building web apps - direct Figma integration, natural language to functional apps",https://lovable.dev,"Figma to app instantly: Direct import of Figma designs to functional apps via chat, enterprise-ready",Relatively new platform; enterprise features still developing; best for internal tools & prototypes,https://lovable.dev/video/lovable-ai-app-builder-the-ai-coding-tool-that-will-take-my-job-and-what-i-plan-to-do-about-it,Free to start; Pro plans available
Midjourney,Assets & Visuals,"AI image generation for web design assets - abstract images, UI elements, backgrounds, stock photography",https://www.midjourney.com,"Premium web assets: Generates abstract backgrounds, UI elements, icons, vector illustrations for high-end designs",Requires prompt engineering skill; subscription cost; can't generate exact brand-specific assets,https://www.mlq.ai/midjourney-web-design-prompts/,Basic $10/mo; Standard $30/mo; Pro $60/mo
DALL-E 3,Assets & Visuals,"AI image generator by OpenAI - creates visuals from text prompts, integrated with ChatGPT",https://openai.com/dall-e-3,"Integrated creation: Built into ChatGPT, creates UI mockups, logos, blog images, social media graphics",Only via ChatGPT Plus/Team; sometimes adds unwanted text to images; needs iteration for perfect results,https://www.youtube.com/watch?v=0AKTh-YTV9Q,Included with ChatGPT Plus/Team
Copy.ai,Copy & Content,"AI copywriting with workflow automation - generates blog posts, ads, emails, social media content",https://www.copy.ai,"Workflow automation: API integration with no-code tools, creates blog outlines and social hooks automatically",Learning curve for automation features; requires API integration for advanced workflows,https://www.youtube.com/watch?v=GQ9SIJpCPko,Free plan; Starter $36/mo; Advanced $186/mo
Jasper AI,Copy & Content,"AI marketing copy generator - templates for landing pages, ads, blogs, brand voice customization",https://www.jasper.ai,"Marketing focus: Landing page creator, team collaboration, brand voice guides, full campaign copy",Higher price point; can produce generic copy without brand voice training; needs human editing,https://www.youtube.com/watch?v=M2xyfVIHmqQ,Creator $39/mo; Pro $59/mo; Business custom
Notion AI,Copy & Content,"AI writing assistant in Notion - generates blog posts, outlines, summaries, SEO headlines",https://www.notion.so/product/ai,"Native integration: Works directly in Notion workspace, SEO headlines, blog posts, content summarization",Limited to text content; can't generate images natively; requires Notion workspace,https://pradeepsingh.com/notion-ai/,AI add-on $8-10/member/month to Notion subscription
Locofy.ai,Design-to-Code,"Figma/XD to code converter using Large Design Models - exports React, Vue, HTML with component mapping",https://www.locofy.ai,"Large Design Models: Trained on millions of designs, automatically maps custom components, smart suggestions",Export code needs cleanup; works best with design systems; Figma plugin dependency,https://www.youtube.com/watch?v=BYzRCxCEXiM,Free beta; Pro plans TBA
TeleportHQ,Design-to-Code,"Design-to-code platform - converts Figma to HTML, CSS, React, Vue with responsive design",https://teleporthq.io,"Multi-framework export: HTML, React, Vue - drag-and-drop editor with custom code scripts",Generated code needs refinement; best for simple to medium complexity; requires design knowledge,https://teleporthq.io/design-to-code,Free tier; Pro $15/mo; Team $35/mo
Anima,Design-to-Code,Figma to React/HTML exporter - generates developer-friendly code with props and components,https://www.animaapp.com,"Component-level export: Copy React code for specific elements, works with design systems","Component-focused, not full-page exports ideal; React-centric; Dev Mode integration preferred",https://www.youtube.com/watch?v=U3cSRg9fPDo,Free for basic; Pro plans for advanced features
UX Pilot (Figma),Design Tools,AI wireframe & UI generator Figma plugin - text-to-UI with editable frames,https://uxpilot.ai,Rapid prototyping: Generates wireframes and high-fidelity screens from prompts or references,Figma plugin dependency; may need design refinement; Premium tier for unlimited generations,https://uxpilot.ai/blogs/best-figma-ai-plugins,Free tier; Premium $20/mo
Banani (Figma),Design Tools,"Design copilot for Figma - generates app UI from text, mixes components from other apps",https://banani.ai,Component mixing: Combines elements from existing apps to create unique interfaces in minutes,Premium features $20/month; requires understanding of UI patterns; outputs need designer review,https://uithings.com/best-figma-ai-plugins,Free tier; Premium $20/mo
FigPilot (Figma),Design Tools,ChatGPT & DALL-E integration for Figma - AI assistance directly in design workflow,https://figpilot.com,Dual AI power: Access both ChatGPT text and DALL-E images within Figma design workflow,Basic compared to specialized tools; limited to ChatGPT/DALL-E models within Figma,https://uithings.com/best-figma-ai-plugins,Free tier available
